station_id,station_lat,station_lon,station_type,observation_time,forecast_issue_time,forecast_valid_time,lead_time_hours,observed_temperature_c,gfs_temperature_c,station_elevation_m,gfs_reference_elevation_m,elevation_difference_m,observation_qc,forecast_cycle,forecast_hour,gfs_grid_lat,gfs_grid_lon,forecast_source,forecast_file
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T00:00:00,2023-01-04T12:00:00,2023-01-05T00:00:00,12,16.4,16.87,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T00:00:00,2023-01-04T12:00:00,2023-01-05T00:00:00,12,24.0,24.54,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T12:00:00,2023-01-04T12:00:00,2023-01-05T12:00:00,24,27.0,26.13,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T12:00:00,2023-01-04T12:00:00,2023-01-05T12:00:00,24,28.0,25.26,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T00:00:00,2023-01-04T12:00:00,2023-01-06T00:00:00,36,19.4,22.44,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T00:00:00,2023-01-04T12:00:00,2023-01-06T00:00:00,36,24.0,25.27,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T12:00:00,2023-01-05T00:00:00,2023-01-05T12:00:00,12,27.0,27.4,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T12:00:00,2023-01-05T00:00:00,2023-01-05T12:00:00,12,28.0,24.79,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T00:00:00,2023-01-05T00:00:00,2023-01-06T00:00:00,24,19.4,21.94,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T00:00:00,2023-01-05T00:00:00,2023-01-06T00:00:00,24,24.0,25.06,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_024_subset.grib2
